"id";"Club";"Pavelló";"ciutat";"provincia";"longitud";"latitud"
"4";"  FC Barcelona";"Palau Blaugrana";"Barcelona";"Barcelona";"2.120052";"41.380018"
"7";" Herbalife Gran Canaria";"Gran Canaria Arena";"Las Palmas de Gran Canaria";"Gran Canaria";"-15.456750";"28.102594"
"10";"  La Bruixa d'Or Manresa";"El Nou Congost";"Manresa";"Barcfelona";"1.809582";"41.725350"
"15";" Tuenti Móvil Estudiantes";"Barclaycard Center";"Madrid";"Madrid";"-3.671697";"40.423866"
"16";"  Unicaja";"Pabellón martín Carpena";"Malaga";"Malaga";"-4.449854";"36.688691"
"17";" Universidad Católica de Murcia";"Pabellon Municipal de Deportes";"Murcia";"Murcia";"-1.112970";"37.993761"
"21";"Bilbao Basket";"Bilbao Arena";"Bilbao";"Vizcaya";"-2.9256970000000138";"43.25162400000001"
"25";" Laboral Kutxa Baskonia";"Fernando Buesa Arena";"Vitoria";"Àlava ";" -2.641727";"42.864010 "
"23";" Baloncesto Sevilla";"Palacio Municial de Deportes San Pablo";"Sevilla";"Sevilla";"-5.964426";"37.395991"
"31";"  CAI Zaragoza";"Pabellon Pri­ncipe Felipe";"Zaragoza";"Zaragoza";"-0.8658313999999336";"41.6359968"
"30";"  Valencia Basket";"Pavellò Font de Sant Lluís";"València";"València";"-0.365639";"39.451372"
"34";"  Iberostar Tenerife";"Pabellón Insular de Tenerife Santiago Martín";"San Cristobal de La Laguna";"Santa Cruz de Tenerife";"-16.297016";"28.458448"
"33";"  MoraBanc Andorra";"Pavelló Joan Alay";"Andorra la Vella";"Andorra";"1.516749";"42.504219"
"35";"MoraBanc Andorra";"Poliesportiu d'Andorra";"Andorra la Vella";"Andorra";"1.516611";"42.505411"
"36";"Valencia Basket";"Pabellón Fuente de San Luis";"València";"València";"-0.366376";"39.452062"
"37";"Real Madrid";"Palacio de Deportes de la Comunidad de Madrid";"Madrid";"Madrid";"-3.671697";"40.423866"
"42";"Rio Natura Monbus Obradoiro";"Pavellón Multiusos Fontes do Sar";"Santiago de Compostela";"A Coruña";"-8.528770";"42.875778"
"39";"FIATC Joventut";"Pavelló Olímpic de Badalona";"Badalona";"Barcelona";"2.231372";"41.442511"
"40";"Valencia Basket";"Pavelló Font de Sant Lluís";"Barcelona";"Barcelona";"2.120052";"41.380018 "
"41";"Montakit Fuenlabrada";"Pavelló Fernando Martín";"Fuenlabrada";"Fuenlabrada";"-3.800596";"40.282628"
"47";"Valencia Basket";"Pavelló de la Font de Sant Lluís";"València";"València";"-0.366146";"39.451682"
"46";"Gipuzkoa Basket";"San Sebastian Arena 2016";"Donostia-San Sebastian";"Gipuzkoa";"-1.970326";"43.301208"
"48";"MoraBanc Andorra";"M.I. Govern Andorra ";"Andorra La Vella";"Andorra La Vella";"1.5162923";"42.5051504"
"50";"  Baloncesto Sevilla";"San Pablo";"Sevilla";"Sevilla";"-5.964188000000036";"37.39527"
